,alpha,mu_a,sigma_a
77,24.144673641308096,4.683850844585485,0.9899180195221312
78,18.176542255045252,8.3699262800128,2.3383434257165217
79,25.24205978127645,4.312679913409141,0.8176330668917591
80,21.503828094341536,5.362857547139721,1.2571177277577796
81,18.37566655506931,6.971206601848139,1.6754072500884818
82,22.348806501101265,12.054568385998914,3.700138088121679
83,22.56074072006647,7.107451441245586,2.017806126564278
84,20.69866689980954,7.304407698331653,2.1830885793294
85,17.579714135715506,9.588699719488025,2.4274634078051722
86,21.34079877469083,12.950503238088256,4.264000379350205
87,19.73931116854773,6.637226766499344,1.9167467734229213
88,18.802162256456356,8.186771765117696,2.0895849905475954
89,26.0107858698644,10.48062700818398,3.381390743072556
90,20.91334062721141,6.642326403795798,1.8308233532976947
91,22.464742880010824,6.0952921169666245,1.4682370100662427
92,20.809916498693386,7.242207013716834,1.9186460111857362
93,22.547947769208964,10.917911797824946,3.310546047675113
94,28.709062886460078,11.696152574328375,3.959706665632747
95,26.8522738441769,3.572112987291319,0.4999205433232012
96,18.324406121026055,8.981865192323102,2.333978309512292
97,18.635255285673924,9.04502592274136,2.6743132725924457
98,28.27104829307081,12.425897606456969,4.186615861267134
99,18.940529517077113,16.29641565579735,5.73325171904097
100,24.00077796343284,5.710295075241539,1.3556929866765022
101,38.95551065685714,3.062477263970956,0.27707285242474805
102,20.607684748803955,8.662842245722999,2.203889976210571
103,24.535841447441573,10.199688522795388,3.0701379527971144
104,19.661195670326236,6.409944097393886,1.4411458824925776
105,20.504177596895538,8.777463256839964,2.3754231419962455
106,21.001687014639625,7.986119106982739,2.456973707975076
107,19.031245930001987,14.525901516747044,5.133019907409864
108,16.982971238509684,8.104007772083765,2.1068928700419356
109,16.729008775356856,8.726129136706458,2.1089685631704524
110,19.930410249236722,5.009072671748194,0.9595740386192835
111,18.034559636840207,6.65817379361619,1.7368364061745631
112,18.789833992661418,16.262593340289193,4.612336635805438
113,26.988536879396456,9.972114986053393,3.113662597076968
114,26.648943125704417,4.7382703135632775,0.9785530987897214
115,26.11017532970955,7.523701735376983,2.4053878906654806
116,29.42682590858141,3.679422342128756,0.5655411272302497
117,17.418755367577088,14.321235919107707,3.9761930120377027
118,17.81941665096461,8.876604276640263,2.373514388184152
119,17.08021735552351,8.852839494319651,1.990468779527748
120,22.225377021115605,11.78423670388944,3.690721742732046
121,20.592530511821334,8.34275907909725,2.5508910638751088
122,25.39429943809795,9.116433277424878,2.6648056060122496
123,20.854542705866347,5.206656805909896,1.1946219890358998
124,18.376676585539453,16.335136509618703,5.892223039060061
125,23.4559452102491,10.392944034906623,3.140985563102593
126,30.271253797030543,6.3861500756213045,1.8348332933679894
127,20.714924508514436,8.23391255097529,2.104142674353619
128,20.11070333008642,5.2280959819406485,1.1282490925739102
129,24.903782454068324,3.8488401614532526,0.5639061426043611
130,18.129892296460614,7.623184318720866,1.79731643651275
131,17.762261780673064,7.022153030006548,1.7539481685334488
132,25.114982193161495,9.465952234986384,2.9267715656471163
133,18.416227876174805,8.455757922261403,2.548861409917101
134,20.768602830515576,12.044531074807898,3.230393714694143
135,20.913731691380903,15.006693377123947,5.449236797045146
136,25.63942735423262,7.514499701398404,2.257350578751308
137,18.707835290706942,8.716779407866865,2.698803072305778
138,18.229632900220732,9.946161993144555,2.553967513738693
139,21.889493625270106,5.298098005765909,1.177178132005143
140,17.00759892856675,11.678848677352429,3.72557513105602
141,22.485635706758327,5.90157872645506,1.517019654075992
142,18.867300358855676,6.528366244576318,1.6184549613847627
143,27.18082533574731,6.925896573554278,2.002651641323256
144,25.212758893042306,6.194485828102815,1.7735848628129058
145,23.062522184414668,4.578023546574088,0.8136784864775102
146,19.946013732091423,5.479531936468545,1.313679849902296
147,29.344874449151934,13.973921733526952,4.900033302784885
148,16.300091458660084,12.890951441910426,3.6310547627115337
149,20.45138390242707,4.814074359539811,0.9114915994614591
150,19.910384965122283,11.070012146471196,2.8934475537966184
